Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Deutsche Zeitschrift für Akupunktur,1439-4359,Yes,,,Springer Nature (Springer)
Development,1461-7072,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Palgrave Macmillan)
Development Genes and Evolution,1432-041X,Yes,,,Springer Nature (Springer)
Diabetologia,1432-0428,Yes,,,Springer Nature (Springer)
Diabetology International,2190-1686,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Dialectical Anthropology,1573-0786,Yes,,,Springer Nature (Springer)
Differential Equations,1608-3083,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Differential Equations and Dynamical Systems,0974-6870,Yes,,,Springer Nature (Springer)
Digestive Diseases and Sciences,1573-2568,Yes,,,Springer Nature (Springer)
Digital Experiences in Mathematics Education,2199-3254,Yes,,,Springer Nature (Springer)
Digital Finance,2524-6186,Yes,,,Springer Nature (Springer)
Digital War,2662-1983,Yes,,,Springer Nature (Palgrave Macmillan)
Discrete & Computational Geometry,1432-0444,Yes,,,Springer Nature (Springer)
Discrete Event Dynamic Systems,1573-7594,Yes,,,Springer Nature (Springer)
Distributed and Parallel Databases,1573-7578,Yes,,,Springer Nature (Springer)
Distributed Computing,1432-0452,Yes,,,Springer Nature (Springer)
DNP - Der Neurologe & Psychiater,2196-6427,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Documenta Ophthalmologica,1573-2622,Yes,,,Springer Nature (Springer)
Doklady Biochemistry and Biophysics,1608-3091,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Doklady Biological Sciences,1608-3105,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Doklady Chemistry,1608-3113,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Doklady Earth Sciences,1531-8354,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Doklady Mathematics,1531-8362,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Doklady Physical Chemistry,1608-3121,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Doklady Physics,1562-6903,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Drug Delivery and Translational Research,2190-3948,Yes,,,Springer Nature (Springer)
Drug Safety,1179-1942,Yes,,,Springer Nature (Adis)
Drugs,1179-1950,Yes,,,Springer Nature (Adis)
Drugs & Aging,1179-1969,Yes,,,Springer Nature (Adis)
Drugs & Therapy Perspectives,1179-1977,Yes,,,Springer Nature (Adis)
Dynamic Games and Applications,2153-0793,Yes,,,Springer Nature (Springer)
Dysphagia,1432-0460,Yes,,,Springer Nature (Springer)
e & i Elektrotechnik und Informationstechnik,1613-7620,Yes,,,Springer Nature (Springer)
Early Childhood Education Journal,1573-1707,Yes,,,Springer Nature (Springer)
Earth Science Informatics,1865-0481,Yes,,,Springer Nature (Springer)
Earth Systems and Environment,2509-9434,Yes,,,Springer Nature (Springer)
"Earth, Moon, and Planets",1573-0794,Yes,,,Springer Nature (Springer)
Earthquake Engineering and Engineering Vibration,1993-503X,Yes,,,Springer Nature (Springer)
East Asia,1874-6284,Yes,,,Springer Nature (Springer)
Eastern Economic Journal,1939-4632,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Palgrave Macmillan)
"Eating and Weight Disorders - Studies on Anorexia, Bulimia and Obesity",1590-1262,Yes,,,Springer Nature (Springer)
EcoHealth,1612-9210,Yes,,,Springer Nature (Springer)
Economia Politica,1973-820X,Yes,,,Springer Nature (Springer)
Economic Botany,1874-9364,Yes,,,Springer Nature (Springer)
Economic Change and Restructuring,1574-0277,Yes,,,Springer Nature (Springer)
Economic Theory,1432-0479,Yes,,,Springer Nature (Springer)
Economic Theory Bulletin,2196-1093,Yes,,,Springer Nature (Springer)
Economics of Disasters and Climate Change,2511-1299,Yes,,,Springer Nature (Springer)
Economics of Governance,1435-8131,Yes,,,Springer Nature (Springer)
Ecosystems,1435-0629,Yes,,,Springer Nature (Springer)
Ecotoxicology,1573-3017,Yes,,,Springer Nature (Springer)
Education and Information Technologies,1573-7608,Yes,,,Springer Nature (Springer)
Education and Treatment of Children,1934-8924,Yes,,,Springer Nature (Springer)
"Educational Assessment, Evaluation and Accountability",1874-8600,Yes,,,Springer Nature (Springer)
Educational Psychology Review,1573-336X,Yes,,,Springer Nature (Springer)
Educational Research for Policy and Practice,1573-1723,Yes,,,Springer Nature (Springer)
Educational Studies in Mathematics,1573-0816,Yes,,,Springer Nature (Springer)
Educational Technology Research and Development,1556-6501,Yes,,,Springer Nature (Springer)
Electrical Engineering,1432-0487,Yes,,,Springer Nature (Springer)
Electrocatalysis,1868-5994,Yes,,,Springer Nature (Springer)
Electrochemical Energy Reviews,2520-8136,Yes,,,Springer Nature (Springer)
Electronic Commerce Research,1572-9362,Yes,,,Springer Nature (Springer)
Electronic Markets,1422-8890,Yes,,,Springer Nature (Springer)
Electronic Materials Letters,2093-6788,Yes,,,Springer Nature (Springer)
Emergency Radiology,1438-1435,Yes,,,Springer Nature (Springer)
Emergent Materials,2522-574X,Yes,,,Springer Nature (Springer)
Emission Control Science and Technology,2199-3637,Yes,,,Springer Nature (Springer)
Empirica,1573-6911,Yes,,,Springer Nature (Springer)
Empirical Economics,1435-8921,Yes,,,Springer Nature (Springer)
Empirical Software Engineering,1573-7616,Yes,,,Springer Nature (Springer)
Employee Responsibilities and Rights Journal,1573-3378,Yes,,,Springer Nature (Springer)
Endocrine,1559-0100,Yes,,,Springer Nature (Springer)
Endocrine Pathology,1559-0097,Yes,,,Springer Nature (Springer)
Energy Efficiency,1570-6478,Yes,,,Springer Nature (Springer)
Energy Systems,1868-3975,Yes,,,Springer Nature (Springer)
"Energy, Ecology and Environment",2363-8338,Yes,,,Springer Nature (Springer)
Engineering with Computers,1435-5663,Yes,,,Springer Nature (Springer)
English Teaching & Learning,2522-8560,Yes,,,Springer Nature (Springer)
Entomological Review,1555-6689,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Entrepreneurship Education,2520-8152,Yes,,,Springer Nature (Springer)
Environment Systems and Decisions,2194-5411,Yes,,,Springer Nature (Springer)
"Environment, Development and Sustainability",1573-2975,Yes,,,Springer Nature (Springer)
Environmental and Ecological Statistics,1573-3009,Yes,,,Springer Nature (Springer)
Environmental and Resource Economics,1573-1502,Yes,,,Springer Nature (Springer)
Environmental Biology of Fishes,1573-5133,Yes,,,Springer Nature (Springer)
Environmental Chemistry Letters,1610-3661,Yes,,,Springer Nature (Springer)
Environmental Earth Sciences,1866-6299,Yes,,,Springer Nature (Springer)
Environmental Economics and Policy Studies,1867-383X,Yes,,,Springer Nature (Springer)
Environmental Fluid Mechanics,1573-1510,Yes,,,Springer Nature (Springer)
Environmental Geochemistry and Health,1573-2983,Yes,,,Springer Nature (Springer)
Environmental Management,1432-1009,Yes,,,Springer Nature (Springer)
Environmental Modeling & Assessment,1573-2967,Yes,,,Springer Nature (Springer)
Environmental Monitoring and Assessment,1573-2959,Yes,,,Springer Nature (Springer)
Environmental Processes,2198-7505,Yes,,,Springer Nature (Springer)
Environmental Science and Pollution Research,1614-7499,Yes,,,Springer Nature (Springer)
Environmental Sustainability,2523-8922,Yes,,,Springer Nature (Springer)
EPMA Journal,1878-5085,Yes,,,Springer Nature (Springer)
ERA Forum,1863-9038,Yes,,,Springer Nature (Springer)
Erkenntnis,1572-8420,Yes,,,Springer Nature (Springer)
Erwerbs-Obstbau,1439-0302,Yes,,,Springer Nature (Springer)
Esophagus,1612-9067,Yes,,,Springer Nature (Springer)
Estuaries and Coasts,1559-2731,Yes,,,Springer Nature (Springer)
Ethical Theory and Moral Practice,1572-8447,Yes,,,Springer Nature (Springer)
Ethics and Information Technology,1572-8439,Yes,,,Springer Nature (Springer)
Ethik in der Medizin,1437-1618,Yes,,,Springer Nature (Springer)
Euphytica,1573-5060,Yes,,,Springer Nature (Springer)
Eurasian Business Review,2147-4281,Yes,,,Springer Nature (Springer)
Eurasian Economic Review,2147-429X,Yes,,,Springer Nature (Springer)
Eurasian Soil Science,1556-195X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Euro-Mediterranean Journal for Environmental Integration,2365-7448,Yes,,,Springer Nature (Springer)
European Actuarial Journal,2190-9741,Yes,,,Springer Nature (Springer)
European Archives of Oto-Rhino-Laryngology,1434-4726,Yes,,,Springer Nature (Springer)
European Archives of Paediatric Dentistry,1996-9805,Yes,,,Springer Nature (Springer)
European Archives of Psychiatry and Clinical Neuroscience,1433-8491,Yes,,,Springer Nature (Springer)
European Biophysics Journal,1432-1017,Yes,,,Springer Nature (Springer)
European Business Organization Law Review,1741-6205,Yes,,,Springer Nature (Springer)
European Child & Adolescent Psychiatry,1435-165X,Yes,,,Springer Nature (Springer)
European Cytokine Network,1952-4005,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
European Food Research and Technology,1438-2385,Yes,,,Springer Nature (Springer)
European Geriatric Medicine,1878-7657,Yes,,,Springer Nature (Springer)
European Journal for Philosophy of Science,1879-4920,Yes,,,Springer Nature (Springer)
European Journal for Security Research,2365-1695,Yes,,,Springer Nature (Springer)
European Journal of Ageing,1613-9380,Yes,,,Springer Nature (Springer)
European Journal of Applied Physiology,1439-6327,Yes,,,Springer Nature (Springer)
European Journal of Clinical Microbiology & Infectious Diseases,1435-4373,Yes,,,Springer Nature (Springer)
European Journal of Clinical Nutrition,1476-5640,Yes,,,Springer Nature (Academic Journals on Nature.com)
European Journal of Clinical Pharmacology,1432-1041,Yes,,,Springer Nature (Springer)
European Journal of Dermatology,1952-4013,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
European Journal of Drug Metabolism and Pharmacokinetics,2107-0180,Yes,,,Springer Nature (Adis)
European Journal of Epidemiology,1573-7284,Yes,,,Springer Nature (Springer)
European Journal of Forest Research,1612-4677,Yes,,,Springer Nature (Springer)
European Journal of Human Genetics,1476-5438,Yes,,,Springer Nature (Academic Journals on Nature.com)
European Journal of Law and Economics,1572-9990,Yes,,,Springer Nature (Springer)
European Journal of Mathematics,2199-6768,Yes,,,Springer Nature (Springer)
European Journal of Nuclear Medicine and Molecular Imaging,1619-7089,Yes,,,Springer Nature (Springer)
European Journal of Nutrition,1436-6215,Yes,,,Springer Nature (Springer)
European Journal of Orthopaedic Surgery & Traumatology,1432-1068,Yes,,,Springer Nature (Springer)
European Journal of Pediatrics,1432-1076,Yes,,,Springer Nature (Springer)
European Journal of Plant Pathology,1573-8469,Yes,,,Springer Nature (Springer)
European Journal of Plastic Surgery,1435-0130,Yes,,,Springer Nature (Springer)
European Journal of Population,1572-9885,Yes,,,Springer Nature (Springer)
European Journal of Psychology of Education,1878-5174,Yes,,,Springer Nature (Springer)
European Journal of Trauma and Emergency Surgery,1863-9941,Yes,,,Springer Nature (Springer)
European Journal of Wildlife Research,1439-0574,Yes,,,Springer Nature (Springer)
European Journal of Wood and Wood Products,1436-736X,Yes,,,Springer Nature (Springer)
European Journal on Criminal Policy and Research,1572-9869,Yes,,,Springer Nature (Springer)
European Political Science,1682-0983,Yes,,,Springer Nature (Palgrave Macmillan)
European Radiology,1432-1084,Yes,,,Springer Nature (Springer)
European Spine Journal,1432-0932,Yes,,,Springer Nature (Springer)
European Surgery,1682-4016,Yes,,,Springer Nature (Springer)
Evidence-Based Dentistry,1476-5446,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Academic Journals on Nature.com)
Evolutionary and Institutional Economics Review,2188-2096,Yes,,,Springer Nature (Springer)
Evolutionary Biology,1934-2845,Yes,,,Springer Nature (Springer)
Evolutionary Ecology,1573-8477,Yes,,,Springer Nature (Springer)
Evolutionary Intelligence,1864-5917,Yes,,,Springer Nature (Springer)
Evolutionary Psychological Science,2198-9885,Yes,,,Springer Nature (Springer)
Evolving Systems,1868-6486,Yes,,,Springer Nature (Springer)
Experimental and Applied Acarology,1572-9702,Yes,,,Springer Nature (Springer)
Experimental and Computational Multiphase Flow,2661-8877,Yes,,,Springer Nature (Springer)
Experimental Astronomy,1572-9508,Yes,,,Springer Nature (Springer)
Experimental Brain Research,1432-1106,Yes,,,Springer Nature (Springer)
Experimental Economics,1573-6938,Yes,,,Springer Nature (Springer)
Experimental Mechanics,1741-2765,Yes,,,Springer Nature (Springer)
Experimental Techniques,1747-1567,Yes,,,Springer Nature (Springer)
Experiments in Fluids,1432-1114,Yes,,,Springer Nature (Springer)
Exposure and Health,2451-9685,Yes,,,Springer Nature (Springer)
Extremes,1572-915X,Yes,,,Springer Nature (Springer)
Extremophiles,1433-4909,Yes,,,Springer Nature (Springer)
Eye,1476-5454,Yes,,,Springer Nature (Academic Journals on Nature.com)
Facies,1612-4820,Yes,,,Springer Nature (Springer)
Familial Cancer,1573-7292,Yes,,,Springer Nature (Springer)
Feminist Legal Studies,1572-8455,Yes,,,Springer Nature (Springer)
Few-Body Systems,1432-5411,Yes,,,Springer Nature (Springer)
Fibers and Polymers,1875-0052,Yes,,,Springer Nature (Springer)
Fibre Chemistry,1573-8493,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Finance and Stochastics,1432-1122,Yes,,,Springer Nature (Springer)
Financial Markets and Portfolio Management,2373-8529,Yes,,,Springer Nature (Springer)
Fire Technology,1572-8099,Yes,,,Springer Nature (Springer)
Fish Physiology and Biochemistry,1573-5168,Yes,,,Springer Nature (Springer)
Fisheries Science,1444-2906,Yes,,,Springer Nature (Springer)
Flexible Services and Manufacturing Journal,1936-6590,Yes,,,Springer Nature (Springer)
"Flow, Turbulence and Combustion",1573-1987,Yes,,,Springer Nature (Springer)
Fluid Dynamics,1573-8507,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Folia Geobotanica,1874-9348,Yes,,,Springer Nature (Springer)
Folia Microbiologica,1874-9356,Yes,,,Springer Nature (Springer)
Food Analytical Methods,1936-976X,Yes,,,Springer Nature (Springer)
Food and Bioprocess Technology,1935-5149,Yes,,,Springer Nature (Springer)
Food and Environmental Virology,1867-0342,Yes,,,Springer Nature (Springer)
Food Biophysics,1557-1866,Yes,,,Springer Nature (Springer)
Food Engineering Reviews,1866-7929,Yes,,,Springer Nature (Springer)
Food Ethics,2364-6861,Yes,,,Springer Nature (Springer)
Food Science and Biotechnology,2092-6456,Yes,,,Springer Nature (Springer)
Food Security,1876-4525,Yes,,,Springer Nature (Springer)
"Forensic Science, Medicine and Pathology",1556-2891,Yes,,,Springer Nature (Springer)
Forensic Toxicology,1860-8973,Yes,,,Springer Nature (Springer)
"Forensische Psychiatrie, Psychologie, Kriminologie",1862-7080,Yes,,,Springer Nature (Springer)
Formal Methods in System Design,1572-8102,Yes,,,Springer Nature (Springer)
Forschung im Ingenieurwesen,1434-0860,Yes,,,Springer Nature (Springer)
Forum,2190-9784,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Forum der Psychoanalyse,1437-0751,Yes,,,Springer Nature (Springer)
Forum Kinder- und Jugendsport,2730-7220,Yes,,,Springer Nature (Springer)
Foundations of Chemistry,1572-8463,Yes,,,Springer Nature (Springer)
Foundations of Computational Mathematics,1615-3383,Yes,,,Springer Nature (Springer)
Foundations of Physics,1572-9516,Yes,,,Springer Nature (Springer)
Foundations of Science,1572-8471,Yes,,,Springer Nature (Springer)
French Politics,1476-3427,Yes,,,Springer Nature (Palgrave Macmillan)
Frontiers in Energy,2095-1698,Yes,,,Springer Nature (Springer)
Frontiers of Chemical Science and Engineering,2095-0187,Yes,,,Springer Nature (Springer)
Frontiers of Computer Science,2095-2236,Yes,,,Springer Nature (Springer)
Frontiers of Earth Science,2095-0209,Yes,,,Springer Nature (Springer)
Frontiers of Education in China,1673-3533,Yes,,,Springer Nature (Springer)
Frontiers of Engineering Management,2096-0255,Yes,,,Springer Nature (Springer)
Frontiers of Environmental Science & Engineering,2095-221X,Yes,,,Springer Nature (Springer)
Frontiers of Information Technology & Electronic Engineering,2095-9230,Yes,,,Springer Nature (Springer)
Frontiers of Materials Science,2095-0268,Yes,,,Springer Nature (Springer)
Frontiers of Mathematics in China,1673-3576,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Frontiers of Mechanical Engineering,2095-0241,Yes,,,Springer Nature (Springer)
Frontiers of Medicine,2095-0225,Yes,,,Springer Nature (Springer)
Frontiers of Optoelectronics,2095-2767,Yes,,,Springer Nature (Springer)
Frontiers of Physics,2095-0470,Yes,,,Springer Nature (Springer)
Frontiers of Structural and Civil Engineering,2095-2449,Yes,,,Springer Nature (Springer)
Fudan Journal of the Humanities and Social Sciences,2198-2600,Yes,,,Springer Nature (Springer)
Functional & Integrative Genomics,1438-7948,Yes,,,Springer Nature (Springer)
Functional Analysis and Its Applications,1573-8485,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Fungal Diversity,1878-9129,Yes,,,Springer Nature (Springer)
Fuzzy Optimization and Decision Making,1573-2908,Yes,,,Springer Nature (Springer)
Gastric Cancer,1436-3305,Yes,,,Springer Nature (Springer)
Gastro-News,2520-8667,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Gefässchirurgie,1434-3932,Yes,,,Springer Nature (Springer)
GEM - International Journal on Geomathematics,1869-2680,Yes,,,Springer Nature (Springer)
Gender Issues,1936-4717,Yes,,,Springer Nature (Springer)
Gene Therapy,1476-5462,Yes,,,Springer Nature (Academic Journals on Nature.com)
General Relativity and Gravitation,1572-9532,Yes,,,Springer Nature (Springer)
General Thoracic and Cardiovascular Surgery,1863-6713,Yes,,,Springer Nature (Springer)
Genes & Genomics,2092-9293,Yes,,,Springer Nature (Springer)
Genes & Immunity,1476-5470,Yes,,,Springer Nature (Academic Journals on Nature.com)
Genetic Programming and Evolvable Machines,1573-7632,Yes,,,Springer Nature (Springer)
Genetic Resources and Crop Evolution,1573-5109,Yes,,,Springer Nature (Springer)
Genetica,1573-6857,Yes,,,Springer Nature (Springer)
Genome Instability & Disease,2524-7662,Yes,,,Springer Nature (Springer)
Geo-Marine Letters,1432-1157,Yes,,,Springer Nature (Springer)
Geochemistry International,1556-1968,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Geography and Natural Resources,1875-371X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Geoheritage,1867-2485,Yes,,,Springer Nature (Springer)
GeoInformatica,1573-7624,Yes,,,Springer Nature (Springer)
GeoJournal,1572-9893,Yes,,,Springer Nature (Springer)
Geology of Ore Deposits,1555-6476,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Geomagnetism and Aeronomy,1555-645X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Geomechanics and Geophysics for Geo-Energy and Geo-Resources,2363-8427,Yes,,,Springer Nature (Springer)
Geometriae Dedicata,1572-9168,Yes,,,Springer Nature (Springer)
Geometric and Functional Analysis,1420-8970,Yes,,,Springer Nature (Springer)
Geosciences Journal,1598-7477,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Geotechnical and Geological Engineering,1573-1529,Yes,,,Springer Nature (Springer)
Geotectonics,1556-1976,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Geriatrie-Report,2520-8950,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
German Journal of Exercise and Sport Research,2509-3150,Yes,,,Springer Nature (Springer)
GeroScience,2509-2723,Yes,,,Springer Nature (Springer)
Gesunde Pflanzen,1439-0345,Yes,,,Springer Nature (Springer)
Glass and Ceramics,1573-8515,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Glass Physics and Chemistry,1608-313X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Glass Structures & Engineering,2363-5150,Yes,,,Springer Nature (Springer)
Global Implementation Research and Applications,2662-9275,Yes,,,Springer Nature (Springer)
Global Journal of Flexible Systems Management,0974-0198,Yes,,,Springer Nature (Springer)
Global Public Policy and Governance,2730-6305,Yes,,,Springer Nature (Springer)
Global Social Welfare,2196-8799,Yes,,,Springer Nature (Springer)
Glycoconjugate Journal,1573-4986,Yes,,,Springer Nature (Springer)
Gold Bulletin,2190-7579,Yes,,,Springer Nature (Springer)
GPS Solutions,1521-1886,Yes,,,Springer Nature (Springer)
Graefe's Archive for Clinical and Experimental Ophthalmology,1435-702X,Yes,,,Springer Nature (Springer)
Granular Computing,2364-4974,Yes,,,Springer Nature (Springer)
Granular Matter,1434-7636,Yes,,,Springer Nature (Springer)
Graphene and 2D Materials Technologies,2730-9975,Yes,,,Springer Nature (Springer)
Graphs and Combinatorics,1435-5914,Yes,,,Springer Nature (Springer)
Gravitation and Cosmology,1995-0721,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Group Decision and Negotiation,1572-9907,Yes,,,Springer Nature (Springer)
Grundwasser,1432-1165,Yes,,,Springer Nature (Springer)
Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO),2366-6218,Yes,,,Springer Nature (Springer)
gynäkologie + geburtshilfe,2196-6435,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Gynäkologische Endokrinologie,1610-2908,Yes,,,Springer Nature (Springer)
Gyroscopy and Navigation,2075-1109,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Hague Journal on the Rule of Law,1876-4053,Yes,,,Springer Nature (Springer)
hautnah,2192-6484,Yes,,,Springer Nature (Springer)
hautnah dermatologie,2196-6451,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Head and Neck Pathology,1936-0568,Yes,,,Springer Nature (Springer)
Health and Technology,2190-7196,Yes,,,Springer Nature (Springer)
Health Care Analysis,1573-3394,Yes,,,Springer Nature (Springer)
Health Care Management Science,1572-9389,Yes,,,Springer Nature (Springer)
Health Information Science and Systems,2047-2501,Yes,,,Springer Nature (Springer)
Health Services and Outcomes Research Methodology,1572-9400,Yes,,,Springer Nature (Springer)
Heart and Vessels,1615-2573,Yes,,,Springer Nature (Springer)
Heart Failure Reviews,1573-7322,Yes,,,Springer Nature (Springer)
Heat and Mass Transfer,1432-1181,Yes,,,Springer Nature (Springer)
Hebammen Wissen,2730-7255,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
HEC Forum,1572-8498,Yes,,,Springer Nature (Springer)
Heilberufe,1867-1535,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
HeilberufeScience,2190-2100,Yes,,,Springer Nature (Springer)
Hepatology International,1936-0541,Yes,,,Springer Nature (Springer)
Herald of the Russian Academy of Sciences,1555-6492,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Heredity,1365-2540,Yes,,,Springer Nature (Academic Journals on Nature.com)
Hernia,1248-9204,Yes,,,Springer Nature (Springer)
Herz,1615-6692,Yes,,,Springer Nature (Springer)
Herzschrittmachertherapie + Elektrophysiologie,1435-1544,Yes,,,Springer Nature (Springer)
High Blood Pressure & Cardiovascular Prevention,1179-1985,Yes,,,Springer Nature (Adis)
High Energy Chemistry,1608-3148,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
High Temperature,1608-3156,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Higher Education,1573-174X,Yes,,,Springer Nature (Springer)
Higher Education Policy,1740-3863,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Palgrave Macmillan)
Histochemistry and Cell Biology,1432-119X,Yes,,,Springer Nature (Springer)
Historical Archaeology,2328-1103,Yes,,,Springer Nature (Springer)
History and Philosophy of the Life Sciences,1742-6316,Yes,,,Springer Nature (Springer)
HMD Praxis der Wirtschaftsinformatik,2198-2775,Yes,,,Springer Nature (Springer)
HNO,1433-0458,Yes,,,Springer Nature (Springer)
HNO Nachrichten,2198-6533,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Homo Oeconomicus,2366-6161,Yes,,,Springer Nature (Springer)
Hormones,2520-8721,Yes,,,Springer Nature (Springer)
"Horticulture, Environment, and Biotechnology",2211-3460,Yes,,,Springer Nature (Springer)
Human Arenas,2522-5804,Yes,,,Springer Nature (Springer)
Human Cell,1749-0774,Yes,,,Springer Nature (Springer)
Human Ecology,1572-9915,Yes,,,Springer Nature (Springer)
Human Factors and Mechanical Engineering for Defense and Safety,2367-2544,Yes,,,Springer Nature (Springer)
Human Genetics,1432-1203,Yes,,,Springer Nature (Springer)
Human Nature,1936-4776,Yes,,,Springer Nature (Springer)
Human Physiology,1608-3164,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Human Rights Review,1874-6306,Yes,,,Springer Nature (Springer)
Human Studies,1572-851X,Yes,,,Springer Nature (Springer)
Human-Intelligent Systems Integration,2524-4884,Yes,,,Springer Nature (Springer)
Humanistic Management Journal,2366-6048,Yes,,,Springer Nature (Springer)
Husserl Studies,1572-8501,Yes,,,Springer Nature (Springer)
Hydrobiologia,1573-5117,Yes,,,Springer Nature (Springer)
Hydrogeology Journal,1435-0157,Yes,,,Springer Nature (Springer)
Hyperfine Interactions,1572-9540,Yes,,,Springer Nature (Springer)
Hypertension Research,1348-4214,Yes,,,Springer Nature (Academic Journals on Nature.com)
Ichthyological Research,1616-3915,Yes,,,Springer Nature (Springer)
IIC - International Review of Intellectual Property and Competition Law,2195-0237,Yes,,,Springer Nature (Springer)
Im Fokus Onkologie,2192-5674,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
IMF Economic Review,2041-417X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Palgrave Macmillan)
Immunogenetics,1432-1211,Yes,,,Springer Nature (Springer)
Immunologic Research,1559-0755,Yes,,,Springer Nature (Springer)
In Silico Pharmacology,2193-9616,Yes,,,Springer Nature (Springer)
In Vitro Cellular & Developmental Biology - Animal,1543-706X,Yes,,,Springer Nature (Springer)
In Vitro Cellular & Developmental Biology - Plant,1475-2689,Yes,,,Springer Nature (Springer)
Indian Economic Review,2520-1778,Yes,,,Springer Nature (Springer)
Indian Geotechnical Journal,2277-3347,Yes,,,Springer Nature (Springer)
Indian Journal of Clinical Biochemistry,0974-0422,Yes,,,Springer Nature (Springer)
Indian Journal of Gastroenterology,0975-0711,Yes,,,Springer Nature (Springer)
Indian Journal of Gynecologic Oncology,2363-8400,Yes,,,Springer Nature (Springer)
Indian Journal of Hematology and Blood Transfusion,0974-0449,Yes,,,Springer Nature (Springer)
Indian Journal of History of Science,2454-9991,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Indian Journal of Microbiology,0973-7715,Yes,,,Springer Nature (Springer)
Indian Journal of Orthopaedics,1998-3727,Yes,,,Springer Nature (Springer)
Indian Journal of Otolaryngology and Head & Neck Surgery,0973-7707,Yes,,,Springer Nature (Springer)
Indian Journal of Pediatrics,0973-7693,Yes,,,Springer Nature (Springer)
Indian Journal of Physics,0974-9845,Yes,,,Springer Nature (Springer)
Indian Journal of Pure and Applied Mathematics,0975-7465,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Indian Journal of Surgery,0973-9793,Yes,,,Springer Nature (Springer)
Indian Journal of Surgical Oncology,0976-6952,Yes,,,Springer Nature (Springer)
Indian Journal of Thoracic and Cardiovascular Surgery,0973-7723,Yes,,,Springer Nature (Springer)
Indian Pediatrics,0974-7559,Yes,,,Springer Nature (Springer)
Indian Phytopathology,2248-9800,Yes,,,Springer Nature (Springer)
Infection,1439-0973,Yes,,,Springer Nature (Springer)
Inflammation,1573-2576,Yes,,,Springer Nature (Springer)
Inflammation Research,1420-908X,Yes,,,Springer Nature (Springer)
Inflammopharmacology,1568-5608,Yes,,,Springer Nature (Springer)
Info Diabetologie,2196-6362,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
InFo Hämatologie + Onkologie,2662-1762,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
