Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Geophysical Research Letters,1944-8007,Yes,,,Wiley
Geostandards & Geoanalytical Research,1751-908X,Yes,,,Wiley
Geriatrics & Gerontology International,1447-0594,Yes,,,Wiley
German Life and Letters,1468-0483,Yes,,,Wiley
Gerodontology,1741-2358,Yes,,,Wiley
Glia,1098-1136,Yes,,,Wiley
Global Biogeochemical Cycles,1944-9224,Yes,,,Wiley
Global Business and Organizational Excellence,1932-2062,Yes,,,Wiley
Global Change Biology,1365-2486,Yes,,,Wiley
Global Ecology and Biogeography,1466-8238,Yes,,,Wiley
Global Networks,1471-0374,Yes,,,Wiley
Global Policy,1758-5899,Yes,,,Wiley
Global Strategy Journal,2042-5805,Yes,,,Wiley
Governance,1468-0491,Yes,,,Wiley
Grass and Forage Science,1365-2494,Yes,,,Wiley
Grassland Science,1744-697X,Yes,,,Wiley
Greenhouse Gases: Science and Technology,2152-3878,Yes,,,Wiley
Growth and Change,1468-2257,Yes,,,Wiley
Haemophilia,1365-2516,Yes,,,Wiley
Hastings Center Report,1552-146X,Yes,,,Wiley
Head & Neck,1097-0347,Yes,,,Wiley
Headache: The Journal of Head and Face Pain,1526-4610,Yes,,,Wiley
Health and Social Care in the Community,1365-2524,Yes,,,Wiley
Health Economics,1099-1050,Yes,,,Wiley
Health Information and Libraries Journal,1471-1842,Yes,,,Wiley
Health Services Research,1475-6773,Yes,,,Wiley
Heat Transfer,2688-4542,Yes,,,Wiley
Helicobacter,1523-5378,Yes,,,Wiley
Helvetica Chimica Acta,1522-2675,Yes,,,Wiley
Hematological Oncology,1099-1069,Yes,,,Wiley
Hemodialysis International,1542-4758,Yes,,,Wiley
Hepatology,1527-3350,Yes,,,Wiley
Hepatology Research,1872-034X,Yes,,,Wiley
Higher Education Quarterly,1468-2273,Yes,,,Wiley
Hippocampus,1098-1063,Yes,,,Wiley
Histopathology,1365-2559,Yes,,,Wiley
History,1468-229X,Yes,,,Wiley
History and Theory,1468-2303,Yes,,,Wiley
History Compass,1478-0542,Yes,,,Wiley
HIV Medicine,1468-1293,Yes,,,Wiley
HLA: Immune Response Genetics,2059-2310,Yes,,,Wiley
Human Factors and Ergonomics in Manufacturing & Service Industries,1520-6564,Yes,,,Wiley
Human Mutation,1098-1004,Yes,,,Wiley
Human Psychopharmacology: Clinical and Experimental,1099-1077,Yes,,,Wiley
Human Resource Development Quarterly,1532-1096,Yes,,,Wiley
Human Resource Management,1099-050X,Yes,,,Wiley
Human Resource Management Journal,1748-8583,Yes,,,Wiley
Hydrological Processes,1099-1085,Yes,,,Wiley
Ibis,1474-919X,Yes,,,Wiley
Immunological Reviews,1600-065X,Yes,,,Wiley
Immunology,1365-2567,Yes,,,Wiley
In Practice,2042-7689,Yes,,,Wiley
Indoor Air,1600-0668,Yes,,,Wiley
Industrial Relations,1468-232X,Yes,,,Wiley
Industrial Relations Journal,1468-2338,Yes,,,Wiley
Infancy,1532-7078,Yes,,,Wiley
Infant and Child Development,1522-7219,Yes,,,Wiley
Infant Mental Health Journal,1097-0355,Yes,,,Wiley
Information Systems Journal,1365-2575,Yes,,,Wiley
Insect Conservation and Diversity,1752-4598,Yes,,,Wiley
Insect Molecular Biology,1365-2583,Yes,,,Wiley
Insect Science,1744-7917,Yes,,,Wiley
Integrative Zoology,1749-4877,Yes,,,Wiley
"Intelligent Systems in Accounting, Finance and Management",2160-0074,Yes,,,Wiley
Internal Medicine Journal,1445-5994,Yes,,,Wiley
International Economic Review,1468-2354,Yes,,,Wiley
International Endodontic Journal,1365-2591,Yes,,,Wiley
International Finance,1468-2362,Yes,,,Wiley
International Forum of Allergy & Rhinology,2042-6984,Yes,,,Wiley
International Insolvency Review,1099-1107,Yes,,,Wiley
International Journal for Numerical and Analytical Methods in Geomechanics,1096-9853,Yes,,,Wiley
International Journal for Numerical Methods in Biomedical Engineering,2040-7947,Yes,,,Wiley
International Journal for Numerical Methods in Engineering,1097-0207,Yes,,,Wiley
International Journal for Numerical Methods in Fluids,1097-0363,Yes,,,Wiley
International Journal of Adaptive Control and Signal Processing,1099-1115,Yes,,,Wiley
International Journal of Applied Linguistics,1473-4192,Yes,,,Wiley
International Journal of Applied Psychoanalytic Studies,1556-9187,Yes,,,Wiley
International Journal of Art & Design Education,1476-8070,Yes,,,Wiley
International Journal of Auditing,1099-1123,Yes,,,Wiley
International Journal of Cancer,1097-0215,Yes,,,Wiley
International Journal of Chemical Kinetics,1097-4601,Yes,,,Wiley
International Journal of Circuit Theory & Applications,1097-007X,Yes,,,Wiley
International Journal of Communication Systems,1099-1131,Yes,,,Wiley
International Journal of Consumer Studies,1470-6431,Yes,,,Wiley
International Journal of Cosmetic Science,1468-2494,Yes,,,Wiley
International Journal of Dairy Technology,1471-0307,Yes,,,Wiley
International Journal of Dental Hygiene,1601-5037,Yes,,,Wiley
International Journal of Dermatology,1365-4632,Yes,,,Wiley
International Journal of Developmental Neuroscience,1873-474X,Yes,,,Wiley
International Journal of Eating Disorders,1098-108X,Yes,,,Wiley
International Journal of Economic Theory,1742-7363,Yes,,,Wiley
International Journal of Energy Research,1099-114X,Yes,,,Wiley
International Journal of Experimental Pathology,1365-2613,Yes,,,Wiley
International Journal of Finance & Economics,1099-1158,Yes,,,Wiley
International Journal of Food Science & Technology,1365-2621,Yes,,,Wiley
International Journal of Geriatric Psychiatry,1099-1166,Yes,,,Wiley
International Journal of Gynecology & Obstetrics,1879-3479,Yes,,,Wiley
International Journal of Imaging Systems and Technology,1098-1098,Yes,,,Wiley
International Journal of Immunogenetics,1744-313X,Yes,,,Wiley
International Journal of Intelligent Systems,1098-111X,Yes,,,Wiley
International Journal of Japanese Sociology,1475-6781,Yes,,,Wiley
International Journal of Laboratory Hematology,1751-553X,Yes,,,Wiley
International Journal of Language & CommunicationDisorders,1460-6984,Yes,,,Wiley
International Journal of Management Reviews,1468-2370,Yes,,,Wiley
International Journal of Mental Health Nursing,1447-0349,Yes,,,Wiley
International Journal of Network Management,1099-1190,Yes,,,Wiley
"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",1099-1204,Yes,,,Wiley
International Journal of Nursing Knowledge,2047-3095,Yes,,,Wiley
International Journal of Nursing Practice,1440-172X,Yes,,,Wiley
International Journal of Older People Nursing,1748-3743,Yes,,,Wiley
International Journal of Osteoarchaeology,1099-1212,Yes,,,Wiley
International Journal of Paediatric Dentistry,1365-263X,Yes,,,Wiley
International Journal of Psychology,1464-066X,Yes,,,Wiley
International Journal of Quantum Chemistry,1097-461X,Yes,,,Wiley
International Journal of RF and Microwave Computer-Aided Engineering,1099-047X,Yes,,,Wiley
International Journal of Rheumatic Diseases,1756-185X,Yes,,,Wiley
International Journal of Robust and Nonlinear Control,1099-1239,Yes,,,Wiley
International Journal of Satellite Communications and Networking,1542-0981,Yes,,,Wiley
International Journal of Selection and Assessment,1468-2389,Yes,,,Wiley
International Journal of Social Welfare,1468-2397,Yes,,,Wiley
International Journal of Systematic Theology,1468-2400,Yes,,,Wiley
International Journal of Tourism Research,1522-1970,Yes,,,Wiley
International Journal of Training and Development,1468-2419,Yes,,,Wiley
International Journal of Urban and Regional Research,1468-2427,Yes,,,Wiley
International Journal of Urological Nursing,1749-771X,Yes,,,Wiley
International Journal of Urology,1442-2042,Yes,,,Wiley
International Labour Review,1564-913X,Yes,,,Wiley
International Migration,1468-2435,Yes,,,Wiley
International Nursing Review,1466-7657,Yes,,,Wiley
International Review of Finance,1468-2443,Yes,,,Wiley
International Review of Hydrobiology,1522-2632,Yes,,,Wiley
International Review of Mission,1758-6631,Yes,,,Wiley
International Social Science Journal,1468-2451,Yes,,,Wiley
International Social Security Review,1468-246X,Yes,,,Wiley
International Statistical Review,1751-5823,Yes,,,Wiley
International Transactions in Operational Research,1475-3995,Yes,,,Wiley
Internet Technology Letters,2476-1508,Yes,,,Wiley
Invertebrate Biology,1744-7410,Yes,,,Wiley
IPPR Progressive Review,2573-2331,Yes,,,Wiley
Irrigation and Drainage,1531-0361,Yes,,,Wiley
Island Arc,1440-1738,Yes,,,Wiley
Israel Journal of Chemistry,1869-5868,Yes,,,Wiley
IUBMB Life,1521-6551,Yes,,,Wiley
JACCP:  Journal of the American College of Clinical Pharmacy,2574-9870,Yes,,,Wiley
Japan Journal of Nursing Science,1742-7924,Yes,,,Wiley
JCMS: Journal of Common Market Studies,1468-5965,Yes,,,Wiley
JFSA Reports,2573-5098,Yes,,,Wiley
Journal der Deutschen Dermatologischen Gesellschaft,1610-0387,Yes,,,Wiley
Journal For Eighteenth-Century Studies,1754-0208,Yes,,,Wiley
Journal for Specialists In Pediatric Nursing,1744-6155,Yes,,,Wiley
Journal for the Anthropology of North America,2475-5389,Yes,,,Wiley
Journal for the Scientific Study of Religion,1468-5906,Yes,,,Wiley
Journal for the Theory of Social Behaviour,1468-5914,Yes,,,Wiley
Journal of Accounting Research,1475-679X,Yes,,,Wiley
Journal of Addictions & Offender Counseling,2161-1874,Yes,,,Wiley
Journal of Adolescence,1095-9254,Yes,,,Wiley
Journal of Adolescent & Adult Literacy,1936-2706,Yes,,,Wiley
Journal of Advanced Manufacturing and Processing,2637-403X,Yes,,,Wiley
Journal of Advanced Nursing,1365-2648,Yes,,,Wiley
Journal of Agrarian Change,1471-0366,Yes,,,Wiley
Journal of Agricultural Economics,1477-9552,Yes,,,Wiley
Journal of Agronomy and Crop Science,1439-037X,Yes,,,Wiley
Journal of American Geriatrics Society,1532-5415,Yes,,,Wiley
Journal of Analytical Psychology,1468-5922,Yes,,,Wiley
Journal of Anatomy,1469-7580,Yes,,,Wiley
Journal of Animal Breeding and Genetics,1439-0388,Yes,,,Wiley
Journal of Animal Physiology and Animal Nutrition,1439-0396,Yes,,,Wiley
Journal of Applied Behavior Analysis,1938-3703,Yes,,,Wiley
Journal of Applied Corporate Finance,1745-6622,Yes,,,Wiley
Journal of Applied Crystallography,1600-5767,Yes,,,Wiley
Journal of Applied Econometrics,1099-1255,Yes,,,Wiley
Journal of Applied Entomology,1439-0418,Yes,,,Wiley
Journal of Applied Ichthyology,1439-0426,Yes,,,Wiley
Journal of Applied Microbiology,1365-2672,Yes,,,Wiley
Journal of Applied Philosophy,1468-5930,Yes,,,Wiley
Journal of Applied Polymer Science,1097-4628,Yes,,,Wiley
Journal of Applied Research in Intellectual Disabilities,1468-3148,Yes,,,Wiley
Journal of Applied Social Psychology,1559-1816,Yes,,,Wiley
Journal of Applied Toxicology,1099-1263,Yes,,,Wiley
Journal of Aquatic Animal Health,1548-8667,Yes,,,Wiley
Journal of Basic Microbiology,1521-4028,Yes,,,Wiley
Journal of Behavioral Decision Making,1099-0771,Yes,,,Wiley
Journal of Biochemical and Molecular Toxicology,1099-0461,Yes,,,Wiley
Journal of Biogeography,1365-2699,Yes,,,Wiley
Journal of Biophotonics,1864-0648,Yes,,,Wiley
Journal of Bone and Mineral Research,1523-4681,Yes,,,Wiley
Journal of Business Finance & Accounting,1468-5957,Yes,,,Wiley
Journal of Business Logistics,2158-1592,Yes,,,Wiley
Journal of Cardiac Surgery,1540-8191,Yes,,,Wiley
Journal of Cardiovascular Electrophysiology,1540-8167,Yes,,,Wiley
Journal of Cellular Biochemistry,1097-4644,Yes,,,Wiley
Journal of Cellular Physiology,1097-4652,Yes,,,Wiley
Journal of Chemical Technology and Biotechnology,1097-4660,Yes,,,Wiley
Journal of Chemometrics,1099-128X,Yes,,,Wiley
Journal of Child and Adolescent Psychiatric Nursing,1744-6171,Yes,,,Wiley
Journal of Child Psychology and Psychiatry,1469-7610,Yes,,,Wiley
Journal of Clinical Apheresis,1098-1101,Yes,,,Wiley
Journal of Clinical Nursing,1365-2702,Yes,,,Wiley
Journal of Clinical Periodontology,1600-051X,Yes,,,Wiley
Journal of Clinical Pharmacology,1552-4604,Yes,,,Wiley
Journal of Clinical Pharmacy and Therapeutics,1365-2710,Yes,,,Wiley
Journal of Clinical Psychology,1097-4679,Yes,,,Wiley
Journal of Clinical Ultrasound,1097-0096,Yes,,,Wiley
Journal of Combinatorial Designs,1520-6610,Yes,,,Wiley
Journal of Community & Applied Social Psychology,1099-1298,Yes,,,Wiley
Journal of Community Psychology,1520-6629,Yes,,,Wiley
Journal of Computational Chemistry,1096-987X,Yes,,,Wiley
Journal of Computer Assisted Learning,1365-2729,Yes,,,Wiley
Journal of Consumer Affairs,1745-6606,Yes,,,Wiley
Journal of Consumer Behaviour,1479-1838,Yes,,,Wiley
Journal of Consumer Psychology,1532-7663,Yes,,,Wiley
Journal of Contingencies and Crisis Management,1468-5973,Yes,,,Wiley
Journal of Corporate Accounting & Finance,1097-0053,Yes,,,Wiley
Journal of Cosmetic Dermatology,1473-2165,Yes,,,Wiley
Journal of Counseling & Development,1556-6676,Yes,,,Wiley
Journal of Cutaneous Pathology,1600-0560,Yes,,,Wiley
Journal of Dental Education,1930-7837,Yes,,,Wiley
Journal of Digestive Diseases,1751-2980,Yes,,,Wiley
Journal of Economic Surveys,1467-6419,Yes,,,Wiley
Journal of Economics & Management Strategy,1530-9134,Yes,,,Wiley
Journal of Educational Measurement,1745-3984,Yes,,,Wiley
Journal of Empirical Legal Studies,1740-1461,Yes,,,Wiley
Journal of Employment Counseling,2161-1920,Yes,,,Wiley
Journal of Engineering Education,2168-9830,Yes,,,Wiley
Journal of Environmental Quality ,1537-2537,Yes,,,Wiley
Journal of Esthetic and Restorative Dentistry,1708-8240,Yes,,,Wiley
Journal of Eukaryotic Microbiology,1550-7408,Yes,,,Wiley
Journal of Evaluation in Clinical Practice,1365-2753,Yes,,,Wiley
Journal of Evidence-Based Medicine,1756-5391,Yes,,,Wiley
Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,1932-5231,Yes,,,Wiley
Journal of Experimental Zoology Part B Molecular and Developmental Evolution,1552-5015,Yes,,,Wiley
Journal of Family Theory & Review,1756-2589,Yes,,,Wiley
Journal of Family Therapy,1467-6427,Yes,,,Wiley
Journal of Field Robotics,1556-4967,Yes,,,Wiley
Journal of Fish Biology,1095-8649,Yes,,,Wiley
Journal of Fish Diseases,1365-2761,Yes,,,Wiley
Journal of Food Biochemistry,1745-4514,Yes,,,Wiley
Journal of Food Process Engineering,1745-4530,Yes,,,Wiley
Journal of Food Processing and Preservation,1745-4549,Yes,,,Wiley
Journal of Food Safety,1745-4565,Yes,,,Wiley
Journal of Food Science,1750-3841,Yes,,,Wiley
Journal of Forecasting,1099-131X,Yes,,,Wiley
Journal of Forensic Sciences,1556-4029,Yes,,,Wiley
Journal of Gastroenterology and Hepatology,1440-1746,Yes,,,Wiley
Journal of Genetic Counseling,1573-3599,Yes,,,Wiley
Journal of Geophysical Research: Atmospheres,2169-8996,Yes,,,Wiley
Journal of Geophysical Research: Biogeosciences,2169-8961,Yes,,,Wiley
Journal of Geophysical Research: Earth Surface,2169-9011,Yes,,,Wiley
Journal of Geophysical Research: Oceans,2169-9291,Yes,,,Wiley
Journal of Geophysical Research: Planets,2169-9100,Yes,,,Wiley
Journal of Geophysical Research: Solid Earth,2169-9356,Yes,,,Wiley
Journal of Geophysical Research: Space Physics,2169-9402,Yes,,,Wiley
Journal of Graph Theory,1097-0118,Yes,,,Wiley
Journal of Healthcare Risk Management,2040-0861,Yes,,,Wiley
Journal of Hepato-Biliary-Pancreatic Sciences,1868-6982,Yes,,,Wiley
Journal of Heterocyclic Chemistry,1943-5193,Yes,,,Wiley
Journal of Historical Sociology,1467-6443,Yes,,,Wiley
Journal of Hospital Medicine,1553-5606,Yes,,,Wiley
Journal of Human Nutrition and Dietetics,1365-277X,Yes,,,Wiley
Journal of Inherited Metabolic Disease,1573-2665,Yes,,,Wiley
Journal of Integrative Plant Biology,1744-7909,Yes,,,Wiley
Journal of Intellectual Disability Research,1365-2788,Yes,,,Wiley
Journal of Interior Design,1939-1668,Yes,,,Wiley
Journal of Internal Medicine,1365-2796,Yes,,,Wiley
Journal of International Development,1099-1328,Yes,,,Wiley
Journal of International Financial Management & Accounting,1467-646X,Yes,,,Wiley
Journal of Investigative Psychology and Offender Profiling,1544-4767,Yes,,,Wiley
Journal of Labelled Compounds and Radiopharmaceuticals,1099-1344,Yes,,,Wiley
Journal of Latin American & Caribbean Anthropology,1935-4940,Yes,,,Wiley
Journal of Law and Society,1467-6478,Yes,,,Wiley
Journal of Leadership Studies,1935-262X,Yes,,,Wiley
Journal of Legal Studies Education,1744-1722,Yes,,,Wiley
Journal of Leukocyte Biology,1938-3673,Yes,,,Wiley
Journal of Linguistic Anthropology,1548-1395,Yes,,,Wiley
Journal of Management Studies,1467-6486,Yes,,,Wiley
Journal of Marital and Family Therapy,1752-0606,Yes,,,Wiley
Journal of Marriage and Family,1741-3737,Yes,,,Wiley
Journal of Mass Spectrometry,1096-9888,Yes,,,Wiley
Journal of Medical Imaging and Radiation Oncology,1754-9485,Yes,,,Wiley
Journal of Medical Primatology,1600-0684,Yes,,,Wiley
Journal of Medical Virology,1096-9071,Yes,,,Wiley
Journal of Metamorphic Geology,1525-1314,Yes,,,Wiley
Journal of Microscopy,1365-2818,Yes,,,Wiley
Journal of Midwifery & Women's Health,1542-2011,Yes,,,Wiley
Journal of Molecular Recognition,1099-1352,Yes,,,Wiley
"Journal of Money, Credit and Banking",1538-4616,Yes,,,Wiley
Journal of Morphology,1097-4687,Yes,,,Wiley
Journal of Multi-Criteria Decision Analysis,1099-1360,Yes,,,Wiley
Journal of Multicultural Counseling and Development,2161-1912,Yes,,,Wiley
Journal of Neuroimaging,1552-6569,Yes,,,Wiley
Journal of Neuropsychology,1748-6653,Yes,,,Wiley
Journal of Neuroscience Research,1097-4547,Yes,,,Wiley
Journal of Nursing Management,1365-2834,Yes,,,Wiley
Journal of Obstetrics and Gynaecology Research,1447-0756,Yes,,,Wiley
Journal of Occupational and Organizational Psychology,2044-8325,Yes,,,Wiley
Journal of Operations Management,1873-1317,Yes,,,Wiley
Journal of Oral Pathology & Medicine,1600-0714,Yes,,,Wiley
Journal of Oral Rehabilitation,1365-2842,Yes,,,Wiley
Journal of Organizational Behavior,1099-1379,Yes,,,Wiley
Journal of Orthopaedic Research ,1554-527X,Yes,,,Wiley
Journal of Paediatrics and Child Health,1440-1754,Yes,,,Wiley
Journal of Peptide Science,1099-1387,Yes,,,Wiley
Journal of Periodontal Research,1600-0765,Yes,,,Wiley
Journal of Personality,1467-6494,Yes,,,Wiley
Journal of Petroleum Geology,1747-5457,Yes,,,Wiley
Journal of Pharmacy Practice and Research,2055-2335,Yes,,,Wiley
Journal of Philanthropy and Marketing,2691-1361,Yes,,,Wiley
Journal of Philosophy of Education,1467-9752,Yes,,,Wiley
Journal of Phycology,1529-8817,Yes,,,Wiley
Journal of Physical Organic Chemistry,1099-1395,Yes,,,Wiley
Journal of Phytopathology,1439-0434,Yes,,,Wiley
Journal of Pineal Research,1600-079X,Yes,,,Wiley
Journal of Plant Nutrition and Soil Science,1522-2624,Yes,,,Wiley
Journal of Plant Registrations ,1940-3496,Yes,,,Wiley
Journal of Policy Analysis and Management,1520-6688,Yes,,,Wiley
Journal of Policy and Practice In Intellectual Disabilities,1741-1130,Yes,,,Wiley
Journal of Polymer Science ,2642-4169,Yes,,,Wiley
Journal of Product Innovation Management,1540-5885,Yes,,,Wiley
Journal of Prosthodontics,1532-849X,Yes,,,Wiley
Journal of Psychiatric and Mental Health Nursing,1365-2850,Yes,,,Wiley
Journal of Public Affairs,1479-1854,Yes,,,Wiley
Journal of Public Economic Theory,1467-9779,Yes,,,Wiley
Journal of Public Health Dentistry,1752-7325,Yes,,,Wiley
Journal of Quaternary Science,1099-1417,Yes,,,Wiley
Journal of Raman Spectroscopy,1097-4555,Yes,,,Wiley
Journal Of Regional Science,1467-9787,Yes,,,Wiley
Journal of Religious Ethics,1467-9795,Yes,,,Wiley
Journal of Religious History,1467-9809,Yes,,,Wiley
Journal of Renal Care,1755-6686,Yes,,,Wiley
Journal of Research in Reading,1467-9817,Yes,,,Wiley
Journal of Research in Science Teaching,1098-2736,Yes,,,Wiley
Journal of Research in Special Educational Needs,1471-3802,Yes,,,Wiley
Journal of Research On Adolescence,1532-7795,Yes,,,Wiley
Journal of Risk and Insurance,1539-6975,Yes,,,Wiley
Journal of School Health,1746-1561,Yes,,,Wiley
Journal of Sensory Studies,1745-459X,Yes,,,Wiley
Journal of Separation Science,1615-9314,Yes,,,Wiley
Journal of Small Animal Practice,1748-5827,Yes,,,Wiley
Journal of Social Issues,1540-4560,Yes,,,Wiley
Journal of Social Philosophy,1467-9833,Yes,,,Wiley
Journal of Sociolinguistics,1467-9841,Yes,,,Wiley
Journal of Software: Evolution and Process,2047-7481,Yes,,,Wiley
Journal of Supply Chain Management,1745-493X,Yes,,,Wiley
Journal of Supreme Court History,1540-5818,Yes,,,Wiley
Journal of Surfactants and Detergents,1558-9293,Yes,,,Wiley
Journal of Surgical Oncology,1096-9098,Yes,,,Wiley
Journal of Systematics and Evolution,1759-6831,Yes,,,Wiley
Journal of Texture Studies,1745-4603,Yes,,,Wiley
Journal of The American Oil Chemists' Society,1558-9331,Yes,,,Wiley
Journal of the American Water Resources Association,1752-1688,Yes,,,Wiley
Journal of the Association for Information Science and Technology,2330-1643,Yes,,,Wiley
Journal of the Chinese Chemical Society,2192-6549,Yes,,,Wiley
Journal of the European Academy of Dermatology and Venereology,1468-3083,Yes,,,Wiley
Journal of the Experimental Analysis of Behavior,1938-3711,Yes,,,Wiley
Journal of the History of the Behavioral Sciences,1520-6696,Yes,,,Wiley
Journal of the Institute of Brewing,2050-0416,Yes,,,Wiley
Journal of the London Mathematical Society,1469-7750,Yes,,,Wiley
Journal of the Peripheral Nervous System,1529-8027,Yes,,,Wiley
Journal of the Royal Anthropological Institute,1467-9655,Yes,,,Wiley
Journal of the Royal Statistical Society: Series A (Statistics in Society),1467-985X,Yes,,,Wiley
Journal of the Royal Statistical Society: Series B (Statistical Methodology),1467-9868,Yes,,,Wiley
Journal of the Royal Statistical Society: Series C (Applied Statistics),1467-9876,Yes,,,Wiley
Journal of the Science of Food and Agriculture,1097-0010,Yes,,,Wiley
Journal of the Society for Information Display,1938-3657,Yes,,,Wiley
Journal of Time Series Analysis,1467-9892,Yes,,,Wiley
Journal of Tissue Engineering and Regenerative Medicine,1932-7005,Yes,,,Wiley
Journal of Topology,1753-8424,Yes,,,Wiley
Journal of Traumatic Stress,1573-6598,Yes,,,Wiley
Journal of Ultrasound in Medicine,1550-9613,Yes,,,Wiley
Journal of Vegetation Science,1654-1103,Yes,,,Wiley
Journal of Veterinary Emergency and Critical Care,1476-4431,Yes,,,Wiley
Journal of Veterinary Pharmacology and Therapeutics,1365-2885,Yes,,,Wiley
Journal of Vinyl & Additive Technology,1548-0585,Yes,,,Wiley
Journal of Viral Hepatitis,1365-2893,Yes,,,Wiley
Journal of Zoology,1469-7998,Yes,,,Wiley
Juvenile and Family Court Journal,1755-6988,Yes,,,Wiley
Knowledge and Process Management,1099-1441,Yes,,,Wiley
Kyklos,1467-6435,Yes,,,Wiley
LABOUR,1467-9914,Yes,,,Wiley
"Lakes & Reservoirs: Science, Policy and Management for Sustainable Use",1440-1770,Yes,,,Wiley
Land Degradation and Development,1099-145X,Yes,,,Wiley
Language & Linguistics Compass,1749-818X,Yes,,,Wiley
Language Learning,1467-9922,Yes,,,Wiley
Laser & Photonics Reviews,1863-8899,Yes,,,Wiley
Lasers in Surgery and Medicine,1096-9101,Yes,,,Wiley
Latin American Policy,2041-7373,Yes,,,Wiley
Law & Policy,1467-9930,Yes,,,Wiley
Law & Society Review,1540-5893,Yes,,,Wiley
Leader to Leader,1531-5355,Yes,,,Wiley
Learning Disabilities Research & Practice,1540-5826,Yes,,,Wiley
Legal and Criminological Psychology,2044-8333,Yes,,,Wiley
Legislative Studies Quarterly,1939-9162,Yes,,,Wiley
Letters In Applied Microbiology,1472-765X,Yes,,,Wiley
Lipids,1558-9307,Yes,,,Wiley
Literacy,1741-4369,Yes,,,Wiley
Literature Compass,1741-4113,Yes,,,Wiley
Liver International,1478-3231,Yes,,,Wiley
Liver Transplantation,1527-6473,Yes,,,Wiley
Lubrication Science,1557-6833,Yes,,,Wiley
Luminescence: The Journal of Biological and Chemical Luminescence,1522-7243,Yes,,,Wiley
LUTS,1757-5672,Yes,,,Wiley
Macromolecular Bioscience,1616-5195,Yes,,,Wiley
Macromolecular Chemistry and Physics,1521-3935,Yes,,,Wiley
Macromolecular Materials and Engineering,1439-2054,Yes,,,Wiley
Macromolecular Rapid Communications,1521-3927,Yes,,,Wiley
Macromolecular Reaction Engineering,1862-8338,Yes,,,Wiley
Macromolecular Symposia,1521-3900,Yes,,,Wiley
Macromolecular Theory and Simulations,1521-3919,Yes,,,Wiley
Magnetic Resonance in Chemistry,1097-458X,Yes,,,Wiley
Mammal Review,1365-2907,Yes,,,Wiley
Managerial and Decision Economics,1099-1468,Yes,,,Wiley
Marine Ecology,1439-0485,Yes,,,Wiley
Marine Mammal Science,1748-7692,Yes,,,Wiley
Mass Spectrometry Reviews,1098-2787,Yes,,,Wiley
Materials and Corrosion,1521-4176,Yes,,,Wiley
Materialwissenschaft und Werkstofftechnik,1521-4052,Yes,,,Wiley
Mathematical Finance,1467-9965,Yes,,,Wiley
Mathematical Logic Quarterly,1521-3870,Yes,,,Wiley
Mathematical Methods in the Applied Sciences,1099-1476,Yes,,,Wiley
Mathematika,2041-7942,Yes,,,Wiley
Mathematische Nachrichten,1522-2616,Yes,,,Wiley
Medical and Veterinary Entomology,1365-2915,Yes,,,Wiley
Medical Anthropology Quarterly,1548-1387,Yes,,,Wiley
Medical Education,1365-2923,Yes,,,Wiley
Medical Journal of Australia,1326-5377,Yes,,,Wiley
Medical Physics,2473-4209,Yes,,,Wiley
Medicinal Research Reviews,1098-1128,Yes,,,Wiley
Metaphilosophy,1467-9973,Yes,,,Wiley
Meteoritics & Planetary Science,1945-5100,Yes,,,Wiley
Metroeconomica,1467-999X,Yes,,,Wiley
Microcirculation,1549-8719,Yes,,,Wiley
Microscopy Research and Technique,1097-0029,Yes,,,Wiley
Microsurgery,1098-2752,Yes,,,Wiley
Microwave and Optical Technology Letters,1098-2760,Yes,,,Wiley
Middle East Policy,1475-4967,Yes,,,Wiley
Milton Quarterly,1094-348X,Yes,,,Wiley
Mind & Language,1468-0017,Yes,,,Wiley
"Mind, Brain, and Education",1751-228X,Yes,,,Wiley
Modern Law Review,1468-2230,Yes,,,Wiley
Modern Theology,1468-0025,Yes,,,Wiley
Molecular Carcinogenesis,1098-2744,Yes,,,Wiley
Molecular Ecology,1365-294X,Yes,,,Wiley
Molecular Ecology Resources,1755-0998,Yes,,,Wiley
Molecular Informatics,1868-1751,Yes,,,Wiley
Molecular Microbiology,1365-2958,Yes,,,Wiley
Molecular Nutrition & Food Research,1613-4133,Yes,,,Wiley
Molecular Oral Microbiology,2041-1014,Yes,,,Wiley
Molecular Reproduction & Development,1098-2795,Yes,,,Wiley
Monographs of the Society for Research in Child Development,1540-5834,Yes,,,Wiley
Movement Disorders,1531-8257,Yes,,,Wiley
Movement Disorders Clinical Practice(Electronic),2330-1619,Yes,,,Wiley
Muscle & Nerve,1097-4598,Yes,,,Wiley
Musculoskeletal Care,1557-0681,Yes,,,Wiley
Museum Anthropology,1548-1379,Yes,,,Wiley
Music Analysis,1468-2249,Yes,,,Wiley
Mycoses,1439-0507,Yes,,,Wiley
Nations and Nationalism,1469-8129,Yes,,,Wiley
Natural Resources Forum,1477-8947,Yes,,,Wiley
Natural Sciences Education,2168-8281,Yes,,,Wiley
Naval Research Logistics,1520-6750,Yes,,,Wiley
Near Surface Geophysics,1873-0604,Yes,,,Wiley
Negotiation Journal,1571-9979,Yes,,,Wiley
Nephrology,1440-1797,Yes,,,Wiley
Networks,1097-0037,Yes,,,Wiley
