Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Eco-Environment & Health,2772-9850,No,Society invoices APC - not on Elsevier systems,,Elsevier
EcoHealth,1612-9210,Yes,,,Springer Nature (Springer)
Ecohydrology & Hydrobiology,1642-3593,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ecological Complexity,1476-945X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ecological Economics,0921-8009,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ecological Engineering,0925-8574,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ecological Genetics and Genomics,2405-9854,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ecological Indicators,1470-160X,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Ecological Informatics,1574-9541,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ecological Modelling,0304-3800,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ecological Psychology,1532-6969,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ecology of Food and Nutrition,1543-5237,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Econometric Reviews,1532-4168,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Econometric Theory,1469-4360,Yes,,,CUP
Econometrics and Statistics,2452-3062,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
"Econometrics Journal, The",1368-423X,Yes,,,OUP
Economia Politica,1973-820X,Yes,,,Springer Nature (Springer)
Economic Analysis and Policy,0313-5926,Yes,,,Elsevier
Economic and Political Studies,2470-4024,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Economic Botany,1874-9364,Yes,,,Springer Nature (Springer)
Economic Change and Restructuring,1574-0277,Yes,,,Springer Nature (Springer)
Economic Geography,1944-8287,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Economic History of Developing Regions,2078-0397,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"Economic Journal, The (1)",1468-0297,Yes,,,OUP
Economic Modelling,0264-9993,Yes,,,Elsevier
Economic Policy,1468-0327,Yes,,,OUP
Economic Research-Ekonomska Istraživanja,1848-9664,No,Fully open access journal,,Taylor and Francis
Economic Systems,0939-3625,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Economic Systems Research,1469-5758,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Economic Theory,1432-0479,Yes,,,Springer Nature (Springer)
Economic Theory Bulletin,2196-1093,Yes,,,Springer Nature (Springer)
Economics & Human Biology,1570-677X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Economics & Philosophy,1474-0028,Yes,,,CUP
Economics Letters,0165-1765,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Economics of Disasters and Climate Change,2511-1299,Yes,,,Springer Nature (Springer)
Economics of Education Review,0272-7757,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Economics of Governance,1435-8131,Yes,,,Springer Nature (Springer)
Economics of Innovation and New Technology,1476-8364,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Economics of Transportation,2212-0122,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Economy and Society,1469-5766,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Écoscience,2376-7626,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ecosystem Health and Sustainability,2332-8878,No,Fully open access journal,,Taylor and Francis
Ecosystem Services,2212-0416,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Ecosystems,1435-0629,Yes,,,Springer Nature (Springer)
Ecosystems and People,2639-5916,No,Fully open access journal,,Taylor and Francis
Ecotoxicology,1573-3017,Yes,,,Springer Nature (Springer)
Ecotoxicology and Environmental Safety,0147-6513,No,Gold OA Title.  15% discount on APC charges,,Elsevier
ECS Advances,2754-2734,Yes,,,IOP
ECS Journal of Solid State Science and Technology,2162-8777,Yes,,,IOP
ECS Sensors Plus,2754-2726,Yes,,,IOP
ECS Transactions,1938-5862,No,Title publishes conference transactions only.,,IOP
editio,1865-9446,Yes,,,De Gruyter
EDPACS,1936-1009,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Educación Médica,1575-1813,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Education 3-13,1475-7575,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Education and Information Technologies,1573-7608,Yes,,,Springer Nature (Springer)
Education and Treatment of Children,1934-8924,Yes,,,Springer Nature (Springer)
Education Economics,1469-5782,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Education for Chemical Engineers,1749-7728,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Education for Primary Care,1475-990X,Yes,,,Taylor and Francis
Education Inquiry,2000-4508,No,Fully open access journal,,Taylor and Francis
Educational Action Research,1747-5074,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Educational and Developmental Psychologist,2059-0784,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Educational Assessment,1532-6977,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"Educational Assessment, Evaluation and Accountability",1874-8600,Yes,,,Springer Nature (Springer)
Educational Gerontology,1521-0472,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Educational Media International,1469-5790,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Educational Philosophy and Theory,1469-5812,Yes,,,Taylor and Francis
Educational Psychologist,1532-6985,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Educational Psychology,1469-5820,Yes,,,Taylor and Francis
Educational Psychology in Practice,1469-5839,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Educational Psychology Review,1573-336X,Yes,,,Springer Nature (Springer)
Educational Research,1469-5847,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Educational Research and Evaluation,1744-4187,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Educational Research for Policy and Practice,1573-1723,Yes,,,Springer Nature (Springer)
Educational Research Review,1747-938X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Educational Review,1465-3397,Yes,,,Taylor and Francis
Educational Studies,1532-6993,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Educational Studies in Mathematics,1573-0816,Yes,,,Springer Nature (Springer)
Educational Technology Research and Development,1556-6501,Yes,,,Springer Nature (Springer)
EFB Bioeconomy Journal,2667-0410,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Egyptian Informatics Journal,1110-8665,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Egyptian Journal of Anaesthesia,1110-1849,No,Fully open access journal,,Taylor and Francis
Egyptian Journal of Aquatic Research,1687-4285,No,Society invoices APC - not on Elsevier systems,,Elsevier
Egyptian Journal of Basic and Applied Sciences,2314-808X,No,Fully open access journal,,Taylor and Francis
Egyptian Journal of Petroleum,1110-0621,No,This journal may subsidise OA - authors should check with each journal on submission,,Elsevier
Eighteenth-Century Music,1478-5714,Yes,,,CUP
EJC Paediatric Oncology,2772-610X,No,Gold OA Title.  15% discount on APC charges,,Elsevier
EJVES Vascular Forum,2666-688X,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Electoral Studies,0261-3794,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Electric Power Components and Systems,1532-5016,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Electric Power Systems Research,0378-7796,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Electrical Engineering,1432-0487,Yes,,,Springer Nature (Springer)
Electrocatalysis,1868-5994,Yes,,,Springer Nature (Springer)
Electrochemical Energy Reviews,2520-8136,Yes,,,Springer Nature (Springer)
Electrochemistry Communications,1388-2481,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Electrochimica Acta,0013-4686,Yes,,,Elsevier
Electromagnetic Biology and Medicine,1536-8386,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Electromagnetics,1532-527X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Electronic Commerce Research,1572-9362,Yes,,,Springer Nature (Springer)
Electronic Commerce Research and Applications,1567-4223,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Electronic Journal of Biotechnology,0717-3458,No,This journal may subsidise OA - authors should check with each journal on submission,,Elsevier
Electronic Markets,1422-8890,Yes,,,Springer Nature (Springer)
Electronic Materials Letters,2093-6788,Yes,,,Springer Nature (Springer)
Electronic Structure,2516-1075,Yes,,,IOP
Elenchos,2037-7177,Yes,,,De Gruyter
ELT Journal,1477-4526,Yes,,,OUP
Emergency Radiology,1438-1435,Yes,,,Springer Nature (Springer)
Emergent Materials,2522-574X,Yes,,,Springer Nature (Springer)
Emerging Animal Species,2772-8137,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Emerging Contaminants,2405-6650,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Emerging Markets Finance and Trade,1558-0938,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Emerging Markets Review,1566-0141,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Emerging Microbes & Infections,2222-1751,No,Fully open access journal,,Taylor and Francis
Emerging Topics in Life Sciences,2397-8562,Yes,,,Portland Press
"Emerging Trends in Drugs, Addictions, and Health",2667-1182,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Emission Control Science and Technology,2199-3637,Yes,,,Springer Nature (Springer)
"Emotion, Space and Society",1755-4586,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Emotional and Behavioural Difficulties,1741-2692,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"Emotions: History, Culture, Society",2208-522X,Yes,,,BRILL
Empirica,1573-6911,Yes,,,Springer Nature (Springer)
Empirical Economics,1435-8921,Yes,,,Springer Nature (Springer)
Empirical Software Engineering,1573-7616,Yes,,,Springer Nature (Springer)
Employee Responsibilities and Rights Journal,1573-3378,Yes,,,Springer Nature (Springer)
Emu - Austral Ornithology,1448-5540,Yes,,,Taylor and Francis
Endeavour,0160-9327,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Endocrine,1559-0100,Yes,,,Springer Nature (Springer)
Endocrine and Metabolic Science,2666-3961,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Endocrine Pathology,1559-0097,Yes,,,Springer Nature (Springer)
Endocrine Practice,1530-891X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Endocrine Research,1532-4206,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Endocrine Reviews*,1945-7189,Yes,,,OUP
"Endocrinología, Diabetes y Nutrición",2530-0164,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
"Endocrinología, Diabetes y Nutrición (English Edition)",2530-0180,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Endocrinology*,1945-7170,Yes,,,OUP
Endowments Studies,2468-5968,Yes,,,BRILL
Energetic Materials Frontiers,2666-6472,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Energy,0360-5442,Yes,,,Elsevier
Energy and AI,2666-5468,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Energy and Buildings,0378-7788,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Energy and Built Environment,2666-1233,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Energy and Climate Change,2666-2787,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Energy Conversion and Management,0196-8904,Yes,,,Elsevier
Energy Conversion and Management: X,2590-1745,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Energy Economics,0140-9883,Yes,,,Elsevier
Energy Efficiency,1570-6478,Yes,,,Springer Nature (Springer)
Energy for Sustainable Development,0973-0826,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Energy Geoscience,2666-7592,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Energy Materials,1748-9245,No,OA not available,,Taylor and Francis
Energy Nexus,2772-4271,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Energy Policy,0301-4215,Yes,,,Elsevier
Energy Reports,2352-4847,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Energy Research & Social Science,2214-6296,Yes,,,Elsevier
Energy Reviews,2772-9702,No,Gold OA Title.  15% discount on APC charges,,Elsevier
"Energy Sources, Part A: Recovery, Utilization, and Environmental Effects",1556-7230,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"Energy Sources, Part B: Economics, Planning, and Policy",1556-7257,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Energy Storage and Saving,2772-6835,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Energy Storage Materials,2405-8297,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Energy Strategy Reviews,2211-467X,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Energy Systems,1868-3975,Yes,,,Springer Nature (Springer)
"Energy, Ecology and Environment",2363-8338,Yes,,,Springer Nature (Springer)
EnergyChem,2589-7780,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
eNeurologicalSci,2405-6502,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Enfermedades Infecciosas y Microbiología Clínica,0213-005X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Enfermedades Infecciosas y Microbiología Clínica (English Edition),2529-993X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Enfermería Clínica,1130-8621,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Enfermería Clínica (English Edition),2445-1479,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Enfermería intensiva,1130-2399,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Enfermería Intensiva (English Edition),2529-9840,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Engineered Regeneration,2666-1381,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Engineering,2095-8099,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Engineering Analysis with Boundary Elements,0955-7997,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Engineering Applications of Artificial Intelligence,0952-1976,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Engineering Applications of Computational Fluid Mechanics,1997-003X,No,Fully open access journal,,Taylor and Francis
Engineering Failure Analysis,1350-6307,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Engineering Fracture Mechanics,0013-7944,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Engineering Geology,0013-7952,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Engineering Geology Special Publications,2041-4730,Yes,,,The Geological Society
Engineering Management Journal,2377-0643,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Engineering Microbiology,2667-3703,No,Society invoices APC - not on Elsevier systems,,Elsevier
Engineering Optimization,1029-0273,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Engineering Research Express,2631-8695,Yes,,,IOP
"Engineering Science and Technology, an International Journal",2215-0986,No,This journal may subsidise OA - authors should check with each journal on submission,,Elsevier
Engineering Structures,0141-0296,Yes,,,Elsevier
Engineering Studies,1940-8374,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Engineering with Computers,1435-5663,Yes,,,Springer Nature (Springer)
English Academy Review,1753-5360,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
English for Specific Purposes,0889-4906,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
"English Historical Review, The",1477-4534,Yes,,,OUP
English in Education,1754-8845,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
English Language & Linguistics,1469-4379,Yes,,,CUP
English Studies,1744-4217,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
English Studies in Africa,1943-8117,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
English Teaching & Learning,2522-8560,Yes,,,Springer Nature (Springer)
English Today,1474-0567,Yes,,,CUP
English: Journal of the English Association,1756-1124,Yes,,,OUP
Enterprise & Society,1467-2235,Yes,,,CUP
Enterprise Information Systems,1751-7583,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Entertainment Computing,1875-9521,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Entomological Review,1555-6689,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Entrepreneurship & Regional Development,1464-5114,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Entrepreneurship Education,2520-8152,Yes,,,Springer Nature (Springer)
Entrepreneurship Research Journal,2157-5665,Yes,,,De Gruyter
Environment and Development Economics,1469-4395,Yes,,,CUP
Environment International,0160-4120,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Environment Systems and Decisions,2194-5411,Yes,,,Springer Nature (Springer)
"Environment, Development and Sustainability",1573-2975,Yes,,,Springer Nature (Springer)
Environment: Science and Policy for Sustainable Development,1939-9154,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Environmental Advances,2666-7657,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Environmental and Ecological Statistics,1573-3009,Yes,,,Springer Nature (Springer)
Environmental and Experimental Botany,0098-8472,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Environmental and Resource Economics,1573-1502,Yes,,,Springer Nature (Springer)
Environmental and Sustainability Indicators,2665-9727,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Environmental Archaeology,1749-6314,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Environmental Biology of Fishes,1573-5133,Yes,,,Springer Nature (Springer)
Environmental Challenges,2667-0100,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Environmental Chemistry and Ecotoxicology,2590-1826,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Environmental Chemistry Letters,1610-3661,Yes,,,Springer Nature (Springer)
Environmental Claims Journal,1547-657X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Environmental Communication,1752-4040,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Environmental Conservation,1469-4387,Yes,,,CUP
Environmental Data Science,2634-4602,Yes,,,CUP
Environmental Development,2211-4645,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Environmental Earth Sciences,1866-6299,Yes,,,Springer Nature (Springer)
Environmental Economics and Policy Studies,1867-383X,Yes,,,Springer Nature (Springer)
Environmental Education Research,1469-5871,Yes,,,Taylor and Francis
Environmental Entomology,1938-2936,Yes,,,OUP
Environmental Fluid Mechanics,1573-1510,Yes,,,Springer Nature (Springer)
Environmental Forensics,1527-5930,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Environmental Functional Materials,2773-0581,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Environmental Geochemistry and Health,1573-2983,Yes,,,Springer Nature (Springer)
Environmental Hazards,1878-0059,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Environmental Impact Assessment Review,0195-9255,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Environmental Innovation and Societal Transitions,2210-4224,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Environmental Management,1432-1009,Yes,,,Springer Nature (Springer)
Environmental Modeling & Assessment,1573-2967,Yes,,,Springer Nature (Springer)
Environmental Modelling & Software,1364-8152,Yes,,,Elsevier
Environmental Monitoring and Assessment,1573-2959,Yes,,,Springer Nature (Springer)
"Environmental Nanotechnology, Monitoring and Management",2215-1532,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Environmental Politics,1743-8934,Yes,,,Taylor and Francis
Environmental Pollutants and Bioavailability,2639-5940,No,Fully open access journal,,Taylor and Francis
Environmental Pollution,0269-7491,Yes,,,Elsevier
Environmental Processes,2198-7505,Yes,,,Springer Nature (Springer)
Environmental Research,0013-9351,Yes,,,Elsevier
Environmental Research Communications,2515-7620,Yes,,,IOP
Environmental Research Letters,1748-9326,Yes,,,IOP
Environmental Research: Climate,2752-5295,Yes,,,IOP
Environmental Research: Ecology,2752-664X,Yes,,,IOP
Environmental Research: Health,2752-5309,Yes,,,IOP
Environmental Research: Infrastructure and Sustainability,2634-4505,Yes,,,IOP
Environmental Science & Policy,1462-9011,Yes,,,Elsevier
Environmental Science and Ecotechnology,2666-4984,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Environmental Science and Pollution Research,1614-7499,Yes,,,Springer Nature (Springer)
Environmental Sociology,2325-1042,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Environmental Sustainability,2523-8922,Yes,,,Springer Nature (Springer)
Environmental Technology,1479-487X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Environmental Technology & Innovation,2352-1864,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Environmental Technology Reviews,2162-2523,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Environmental Toxicology and Pharmacology,1382-6689,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Enzyme and Microbial Technology,0141-0229,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
EP Europace,1532-2092,No,Fully open access journal,,OUP
EPE Journal,2376-9319,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Epidemics,1755-4365,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Epidemiologic Methods,2161-962X,Yes,,,De Gruyter
Epidemiologic Reviews,1478-6729,Yes,,,OUP
Epidemiology & Infection,1469-4409,Yes,,,CUP
Epidemiology and Psychiatric Sciences,2045-7979,Yes,,,CUP
Epigenetics,1559-2308,No,Fully open access journal,,Taylor and Francis
Epigenomics,1750-192X,Yes,,,Future Science
Epilepsy & Behavior,1525-5050,Yes,,,Elsevier
Epilepsy & Behavior Reports,2589-9864,No,Gold OA Title.  15% discount on APC charges,,Elsevier
